Eat my shorts,Bart Simpson

But my mom says I'm cool.,Milhouse Van Houten

Inflammable means flammable? What a country!,Dr. Nick

"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy

"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak

"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson

I believe the children are the future... Unless we stop them now!,Homer Simpson

Ahh! Sweet liquor eases the pain.,Troy McClure

"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten

But my mom says I'm cool.,Milhouse Van Houten

Thank you. Come again.,Apu Nahasapeemapetilon

Doughnuts? I told you I don't like ethnic food,Mr. Burns

Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak

"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson

"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy

I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes

"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz

Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson

"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten

"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak

Me fail English? That's unpossible.,Ralph Wiggum

"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum

"In theory, Communism works! In theory.",Homer Simpson

Me fail English? That's unpossible.,Ralph Wiggum

I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson

"Gah, stupid sexy Flanders!",Homer Simpson

"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie

"In theory, Communism works! In theory.",Homer Simpson

"Oh, wow, windows. I don't think I could afford this place.",Otto

I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson

"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy

I believe the children are the future... Unless we stop them now!,Homer Simpson

I believe the children are the future... Unless we stop them now!,Homer Simpson

"Oh, so they have Internet on computers now!",Homer Simpson

